Date,Day of Week,Time,Gig Type,Name,City,Address,Status
6/6/2026,Saturday ,2 - 3 PM,Sonoma Library Series,Sonoma Valley Library,Sonoma,"755 West Napa Street Sonoma, CA 95476",Confirmed
6/13/2026,Saturday ,6 - 8 PM,Private Party,Private House,Sacramento,"2721 Echo Way Sacramento, CA",Confirmed
6/20/2026,Saturday ,11-12 PM,Sonoma Library Series,Healdsburg Library,Healdsburg,"139 Piper St, Healdsburg, CA 95448 ",Confirmed
6/20/2026,Saturday ,3 - 4 PM,Sonoma Library Series,Central Santa Rosa Library,Santa Rosa,"211 E Street, Santa Rosa",Confirmed
6/27/2026,Saturday ,2- 3 PM,Sonoma Library Series,Petaluma Library,Petaluma ,"100 Fairgrounds Dr, Petaluma, CA 94952",Confirmed
07/01/2026,Wednesday,6:30 - 7:30 PM,Sonoma Library Series,Roseland Library,Santa Rosa,"470 Sebastopol Rd, Santa Rosa, CA 95407",Confirmed
07/08/2026,Wednesday,6 - 8:30P,Festival,Sunnyvale Music Series,Sunnyvale,Murphy Avenue between Washington & Evelyn in downtown Sunnyvale,Confirmed
07/12/2026,Sunday,2 - 3 PM,Sonoma Library Series,Rohnert Park Library,Rohnert Park,"6250 Lynne Condé Way, Rohnert Park, CA 94928",Confirmed
7/18/2026,Saturday ,2 - 3 PM,Sonoma Library Series,Guerneville Library,Guerneville,"14107 Armstrong Woods Rd, Guerneville, CA 95446",Confirmed
08/01/2026,Saturday ,5:30 - 8:30 PM,Private Party,Chops Teen Club,Santa Rosa,"509 Adams Street, Santa Rosa, CA 95401",Confirmed
08/16/2026,Sunday,1:30 - 4:30 PM,Winery,Longevity Wines,Livermore,"2271 South Vasco Rd.  Livermore, CA 94550",Confirmed